Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
ALBION FIRE DEPARTMENT,37001,108 NORTH PLATT STREET,ALBION,NY,14411,37,Orleans,5855894223,43.247804,-78.192238,"{'longitude': '-78.192238', 'latitude': '43.247804'}",626,170,519
ALDEN FIRE DEPARTMENT,15002,13336 BROADWAY,ALDEN,NY,14004,15,Erie,7169379216,42.900163,-78.490835,"{'longitude': '-78.490835', 'latitude': '42.900163'}",2041,481,309
ALEXANDER FIRE DEPARTMENT,19002,PO BOX 152,ALEXANDER,NY,14005,19,Genesee,5855912411,42.904573,-78.253454,"{'longitude': '-78.253454', 'latitude': '42.904573'}",2086,482,796
ALEXANDRIA BAY FIRE DEPARTMENT,23003,PO BOX 623,ALEXANDRIA BAY,NY,13607,23,Jefferson,,44.337103,-75.908083,"{'longitude': '-75.908083', 'latitude': '44.337103'}",2089,1471,861
ALFRED STATION FIRE DEPARTMENT,02002,623 STATE RTE 244 BOX 282,ALFRED STATION,NY,14803,02,Allegany,6075879201,42.268636,-77.75986,"{'longitude': '-77.75986', 'latitude': '42.268636'}",2031,1750,477
ALLEGANY FIRE DEPARTMENT,05001,PO BOX 95,ALLEGANY,NY,14706-0095,05,Cattaraugus,7163730477,42.094612,-78.49954,"{'longitude': '-78.49954', 'latitude': '42.094612'}",2034,1688,376
ALLENTOWN FIRE DEPARTMENT,02003,1966 CHURCH ST PO BOX 82,ALLENTOWN,NY,14707,02,Allegany,5855934020,42.12375,-77.94883,"{'longitude': '-77.94883', 'latitude': '42.12375'}",2031,923,396
ALMA FIRE DEPARTMENT,02004,5778 CNTY ROUTE 18 BOX 49,ALMA,NY,14708,02,Allegany,5855930044,42.012599,-78.060224,"{'longitude': '-78.060224', 'latitude': '42.012599'}",2031,1690,475
ALMOND FIRE DEPARTMENT,02005,1 MARVIN LANE BOX 256,ALMOND,NY,14804,02,Allegany,6072765921,42.316386,-77.740698,"{'longitude': '-77.740698', 'latitude': '42.316386'}",2031,1751,474
ALPLAUS FIRE DEPARTMENT,47001,308 ALPLAUS AVENUE,ALPLAUS,NY,12008,47,Schenectady,5183992288,42.855423,-73.89947,"{'longitude': '-73.89947', 'latitude': '42.855423'}",2142,1141,120
ALTAMONT FIRE DEPARTMENT,01002,115 MAIN STREET PO BOX 642,ALTAMONT,NY,12009,01,Albany,5188618171,42.702865,-74.02531,"{'longitude': '-74.02531', 'latitude': '42.702865'}",2030,1142,806
ALTMAR FIRE DEPARTMENT,38002,PO BOX 174,ALTMAR,NY,13302,38,Oswego,3152985555,43.509086,-76.002159,"{'longitude': '-76.002159', 'latitude': '43.509086'}",2135,762,263
ALTONA FIRE DEPARTMENT,10002,PO BX 36  480 DEVILS DEN RD,ALTONA,NY,12910,10,Clinton,5182367223,44.886813,-73.655651,"{'longitude': '-73.655651', 'latitude': '44.886813'}",2038,204,16
ALTON FIRE DEPARTMENT,59001,8593 YORK SETTLEMENT ROAD,SODUS,NY,14551,59,Wayne,3154834368,43.21125,-76.98028,"{'longitude': '-76.98028', 'latitude': '43.21125'}",631,326,634
AMAGANSETT FIRE DEPARTMENT,52001,PO BOX 911,AMAGANSETT,NY,11930,52,Suffolk,6312673300,40.978819,-72.134878,"{'longitude': '-72.134878', 'latitude': '40.978819'}",2179,1531,
AMBER FIRE DEPARTMENT,34001,PO BOX 172,MARIETTA,NY,13110,34,Onondaga,3156367741,42.87702,-76.26723,"{'longitude': '-76.26723', 'latitude': '42.87702'}",2132,645,706
AMENIA FIRE DEPARTMENT,14001,PO BOX 166  36 MECHANIC ST,AMENIA,NY,12501,14,Dutchess,8453738467,41.849019,-73.552878,"{'longitude': '-73.552878', 'latitude': '41.849019'}",2040,945,605
AMES FIRE DEPARTMENT,29002,200 BECKER ROAD,CANAJOHARIE,NY,13317,29,Montgomery,5186733044,42.83731,-74.60146,"{'longitude': '-74.60146', 'latitude': '42.83731'}",624,774,494
AMITYVILLE FIRE DEPARTMENT,52002,55 W OAK ST PO BOX 725,AMITYVILLE,NY,11701,52,Suffolk,6312641130,40.679218,-73.420642,"{'longitude': '-73.420642', 'latitude': '40.679218'}",2179,1032,
AMSTERDAM FIRE DEPARTMENT,29001,GUY PARK AVENUE EXTENSION,AMSTERDAM,NY,12010,29,Montgomery,5188431312,42.95356,-74.17751,"{'longitude': '-74.17751', 'latitude': '42.95356'}",624,1143,500
ANCRAM FIRE DEPARTMENT,11001,BOX 114,ANCRAM,NY,12502,11,Columbia,5183293430,42.06411,-73.6628,"{'longitude': '-73.6628', 'latitude': '42.06411'}",619,946,526
ANDES FIRE DEPARTMENT,13001,5259 CO HWY 1  PO BOX 475,ANDES,NY,13731,13,Delaware,8456764588,42.18371,-74.789411,"{'longitude': '-74.789411', 'latitude': '42.18371'}",2039,1626,583
ANDOVER FIRE DEPARTMENT,02006,60 S MAIN ST PO BOX 714,ANDOVER,NY,14806,02,Allegany,6074788361,42.154809,-77.795274,"{'longitude': '-77.795274', 'latitude': '42.154809'}",2031,1753,472
ANGELICA FIRE DEPARTMENT,02007,85 MAIN ST PO BOX 154,ANGELICA,NY,14709,02,Allegany,5854667621,42.307251,-78.020337,"{'longitude': '-78.020337', 'latitude': '42.307251'}",2031,1691,449
ANGOLA FIRE DEPARTMENT,15003,41 COMMERCIAL ST PO BOX 303,ANGOLA,NY,14006,15,Erie,7165493022,42.637473,-79.028789,"{'longitude': '-79.028789', 'latitude': '42.637473'}",2041,483,299
ANTWERP FIRE DEPARTMENT,23004,2 VANBUREN STREET,ANTWERP,NY,13608,23,Jefferson,3156598631,44.198629,-75.606946,"{'longitude': '-75.606946', 'latitude': '44.198629'}",2089,1472,859
APALACHIN FIRE DEPARTMENT,54001,230 PENNSYLVANIA PO BOX 572,APALACHIN,NY,13732,54,Tioga,6076252216,42.067017,-76.157246,"{'longitude': '-76.157246', 'latitude': '42.067017'}",630,1627,59
APULIA FIRE DEPARTMENT,34002,BOX 96,APULIA STATION,NY,13020,34,Onondaga,3156965636,42.81903,-76.07032,"{'longitude': '-76.07032', 'latitude': '42.81903'}",2132,342,710
ARCADE FIRE DEPARTMENT,61001,145 NORTH ST PO BOX 303,ARCADE,NY,14009,61,Wyoming,5854923947,42.539582,-78.455577,"{'longitude': '-78.455577', 'latitude': '42.539582'}",2186,485,420
ARCHVILLE FIRE COMPANY,60063,1 UNION STREET,SCARBOROUGH,NY,10510,60,Westchester,9147623156,41.121377,-73.861221,"{'longitude': '-73.861221', 'latitude': '41.121377'}",2185,1199,967
ARDSLEY FIRE DEPARTMENT,60001,505 ASHFORD AVENUE,ARDSLEY,NY,10502,60,Westchester,9146936581,41.011626,-73.846433,"{'longitude': '-73.846433', 'latitude': '41.011626'}",2185,748,986
ARENA FIRE DEPARTMENT,13002,2411 MILLBROOK RD,MARGARETVILLE,NY,12455,13,Delaware,9145864785,42.08844,-74.69201,"{'longitude': '-74.69201', 'latitude': '42.08844'}",2039,249,570
ARGYLE FIRE DEPARTMENT,58001,5072 ROUTE 40,ARGYLE,NY,12809,58,Washington,5186381031,43.242792,-73.48038,"{'longitude': '-73.48038', 'latitude': '43.242792'}",2184,787,742
ARKPORT FIRE DEPARTMENT,51002,8813 STATE ROUTE 36,ARKPORT,NY,14807,51,Steuben,6072957750,42.392932,-77.694688,"{'longitude': '-77.694688', 'latitude': '42.392932'}",2178,1754,35
ARKVILLE FIRE DEPT,13003,43365 STATE HIGHWAY 28,ARKVILLE,NY,12406,13,Delaware,9145864480,42.147643,-74.619711,"{'longitude': '-74.619711', 'latitude': '42.147643'}",2039,82,570
ARLINGTON FIRE DEPARTMENT,14002,11 BURNETT BOULEVARD,POUGHKEEPSIE,NY,12603,14,Dutchess,8454866300,41.69692,-73.888499,"{'longitude': '-73.888499', 'latitude': '41.69692'}",2040,1022,598
ARMONK FIRE DEPARTMENT,60002,PO BOX 116,ARMONK,NY,10504,60,Westchester,9142733292,41.141606,-73.683213,"{'longitude': '-73.683213', 'latitude': '41.141606'}",2185,1194,961
ARMOR FIRE DEPARTMENT,15004,4932 CLARK ST  PO BOX 971,HAMBURG,NY,14075,15,Erie,7166499821,42.73975,-78.799379,"{'longitude': '-78.799379', 'latitude': '42.73975'}",2041,527,297
ARVIN HART FIRE DEPARTMENT,46001,PO BOX 288 5 HUDSON AVENUE,STILLWATER,NY,12170,46,Saratoga,5186645191,42.96468,-73.6624,"{'longitude': '-73.6624', 'latitude': '42.96468'}",2141,1415,992
ASHLAND FIRE DEPARTMENT,20001,RD 1 BOX 49A,ASHLAND,NY,12407,20,Greene,5187343006,42.23923,-74.31383,"{'longitude': '-74.31383', 'latitude': '42.23923'}",2087,194,767
ASHVILLE FIRE DEPARTMENT,07001,4853 ROUTE 474  PO BOX 129,ASHVILLE,NY,14710,07,Chautauqua,7167638196,42.10429,-79.38114,"{'longitude': '-79.38114', 'latitude': '42.10429'}",2035,1692,216
ATHENS FIRE DEPARTMENT,20002,39 THIRD ST PO BOX 207,ATHENS,NY,12015,20,Greene,5189451597,42.28709,-73.83206,"{'longitude': '-73.83206', 'latitude': '42.28709'}",2087,1144,732
ATLANTA FIRE DEPARTMENT,51003,PO BOX 134,ATLANTA,NY,14808,51,Steuben,7165345396,42.55416,-77.47236,"{'longitude': '-77.47236', 'latitude': '42.55416'}",2178,1755,46
ATTICA FIRE DEPARTMENT,61002,11 WATER STREET,ATTICA,NY,14011,61,Wyoming,7165912679,42.864592,-78.283141,"{'longitude': '-78.283141', 'latitude': '42.864592'}",2186,486,418
AUBURN CITY FIRE DEPARTMENT,06001,23 MARKET STREET,AUBURN,NY,13021,06,Cayuga,3152534031,42.933196,-76.56558,"{'longitude': '-76.56558', 'latitude': '42.933196'}",618,343,97
AURELIUS FIRE DEPARTMENT,06002,1241 W GENESEE STREET ROAD,AUBURN,NY,13021,06,Cayuga,3152520039,42.923817,-76.624858,"{'longitude': '-76.624858', 'latitude': '42.923817'}",618,343,95
AURORA FIRE DEPARTMENT,06003,456 MAIN STREET,AURORA,NY,13026,06,Cayuga,3153648590,42.757976,-76.70362,"{'longitude': '-76.70362', 'latitude': '42.757976'}",618,345,85
AUSABLE FORKS FIRE DEPARTMENT,16001,29 SCHOOL ST PO BOX 785,AUSABLE FORKS,NY,12912,16,Essex,5186475582,44.48598,-73.7599,"{'longitude': '-73.7599', 'latitude': '44.48598'}",2038,206,15
AUSTERLITZ FIRE DEPARTMENT,11026,PO BOX 98,SPENCERTOWN,NY,12165,11,Columbia,5183923578,42.31636,-73.50175,"{'longitude': '-73.50175', 'latitude': '42.31636'}",619,1410,531
AVERILL PARK FIRE DEPARTMENT,42001,10 SUNSET ROAD BOX 116,AVERILL PARK,NY,12018,42,Rensselaer,5186743077,42.629937,-73.549541,"{'longitude': '-73.549541', 'latitude': '42.629937'}",2138,1146,94
AVOCA FIRE DEPARTMENT,51004,PO BOX 447,AVOCA,NY,14809,51,Steuben,6075669550,42.409485,-77.420117,"{'longitude': '-77.420117', 'latitude': '42.409485'}",2178,1756,52
AVON FIRE DEPARTMENT,26001,74 GENESEE STREET,AVON,NY,14414,26,Livingston,5852268770,42.910934,-77.746424,"{'longitude': '-77.746424', 'latitude': '42.910934'}",2091,171,761
BABYLON FIRE DEPARTMENT,52003,153 W MAIN ST PO BOX 236,BABYLON,NY,11702,52,Suffolk,6316691600,40.695731,-73.326233,"{'longitude': '-73.326233', 'latitude': '40.695731'}",2179,1033,
BAINBRIDGE FIRE DEPARTMENT,09002,22 WEST MAIN,BAINBRIDGE,NY,13733,09,Chenango,6079673281,42.294085,-75.48035,"{'longitude': '-75.48035', 'latitude': '42.294085'}",2037,1628,279
BAKERS MILLS FIRE DEPARTMENT,57003,2554 RT 8 PO BOX 1,BAKERS MILLS,NY,12811,57,Warren,5182513324,43.61491,-74.01342,"{'longitude': '-74.01342', 'latitude': '43.61491'}",2183,789,831
BALDWIN FIRE DEPARTMENT,30002,2386 GRAND AVENUE,BALDWIN,NY,11510,30,Nassau,5162236858,40.652879,-73.611392,"{'longitude': '-73.611392', 'latitude': '40.652879'}",2094,1268,54
BALDWIN FIRE DEPARTMENT,08002,460 BREESPORT-N CHEMUNG RD,LOWMAN,NY,14861,08,Chemung,6077343068,42.088247,-76.700091,"{'longitude': '-76.700091', 'latitude': '42.088247'}",2036,51,490
BALDWINSVILLE FIRE DEPARTMENT,34003,7911 CREGO RD,BALDWINSVILLE,NY,13027,34,Onondaga,3156358787,43.15893,-76.32919,"{'longitude': '-76.32919', 'latitude': '43.15893'}",2132,346,509
BALLSTON LAKE FIRE DEPARTMENT,46002,ROUTE 146A,BALLSTON LAKE,NY,12019,46,Saratoga,5183995152,42.902525,-73.875381,"{'longitude': '-73.875381', 'latitude': '42.902525'}",2141,1147,
BALLSTON SPA FIRE DEPARTMENT,46003,66 FRONT ST  VILLAGE OFFICE,BALLSTON SPA,NY,12020,46,Saratoga,5185287831,43.002498,-73.851089,"{'longitude': '-73.851089', 'latitude': '43.002498'}",2141,1148,1000
BANGOR FIRE DEPARTMENT,17001,2265 STATE RTE 11,NORTH BANGOR,NY,12966,17,Franklin,5184832780,44.0355,-73.50323,"{'longitude': '-73.50323', 'latitude': '44.0355'}",2084,284,451
BANKSVILLE IND FIRE COMPANY,60003,33 BEDFORD-BANKSVILLE ROAD,BEDFORD,NY,10506,60,Westchester,9142347104,41.144703,-73.64204,"{'longitude': '-73.64204', 'latitude': '41.144703'}",2185,1196,961
BARKER FIRE DEPARTMENT,32002,1660 QUAKER ROAD,BARKER,NY,14012,32,Niagara,7167953011,43.331699,-78.554952,"{'longitude': '-78.554952', 'latitude': '43.331699'}",2131,487,161
BARNARD FIRE DEPARTMENT,28001,3084 DEWEY AVENUE,ROCHESTER,NY,14616,28,Monroe,5856631113,43.225629,-77.643327,"{'longitude': '-77.643327', 'latitude': '43.225629'}",2093,1675,555
BARNEVELD FIRE DEPARTMENT,33043,PO BOX 480,BARNEVELD,NY,13304,33,Oneida,3158962410,43.273658,-75.185024,"{'longitude': '-75.185024', 'latitude': '43.273658'}",625,764,993
BARRE FIRE COMPANY,37002,4887 EAGLE HARBOR ROAD,ALBION,NY,14411,37,Orleans,5855896107,43.184734,-78.19423,"{'longitude': '-78.19423', 'latitude': '43.184734'}",626,170,516
BATAVIA FIRE DEPT (CITY),19003,18 EVANS STREET,BATAVIA,NY,14020,19,Genesee,5853456375,42.995803,-78.186787,"{'longitude': '-78.186787', 'latitude': '42.995803'}",2086,489,795
BATAVIA FIRE DEPT (TOWN),19004,LEWISTON ROAD PO BOX 417,BATAVIA,NY,14020,19,Genesee,5853443284,43.007676,-78.207078,"{'longitude': '-78.207078', 'latitude': '43.007676'}",2086,489,794
BATH VOLUNTEER FIRE DEPARTMENT,51005,50 E MORRIS STREET,BATH,NY,14810,51,Steuben,6077697753,42.333423,-77.322355,"{'longitude': '-77.322355', 'latitude': '42.333423'}",2178,1757,51
BAYPORT FIRE DEPARTMENT,52004,251 SNEDECOR AVENUE,BAYPORT,NY,11705,52,Suffolk,6314720641,40.745039,-73.053377,"{'longitude': '-73.053377', 'latitude': '40.745039'}",2179,1066,
BAY RIDGE VOLUNTEER FIRE COMPANY,57002,1080 BAY ROAD,LAKE GEORGE,NY,12845-4616,57,Warren,5187926979,43.38296,-73.642,"{'longitude': '-73.642', 'latitude': '43.38296'}",2183,128,815
BAY SHORE FIRE DEPARTMENT,52005,195 FIFTH AVENUE,BAY SHORE,NY,11706,52,Suffolk,6316654227,40.728988,-73.260624,"{'longitude': '-73.260624', 'latitude': '40.728988'}",2179,1067,
BAYVILLE FIRE DEPARTMENT,30003,258 BAYVILLE AVENUE,BAYVILLE,NY,11709,30,Nassau,5166281922,40.907197,-73.550439,"{'longitude': '-73.550439', 'latitude': '40.907197'}",2094,1068,66
BEACON FIRE DEPARTMENT,14003,13 SOUTH AVENUE,BEACON,NY,12508,14,Dutchess,8457650899,41.503024,-73.966554,"{'longitude': '-73.966554', 'latitude': '41.503024'}",2040,950,606
BEAVER DAMS FIRE DEPARTMENT,49001,PO BOX 14,BEAVER DAMS,NY,14812,49,Schuyler,6079620647,42.27228,-76.95721,"{'longitude': '-76.95721', 'latitude': '42.27228'}",2036,1758,491
BEAVER FALLS FIRE DEPARTMENT,25001,9583 MAIN STREET,BEAVER FALLS,NY,13305,25,Lewis,3153466712,43.88756,-75.42521,"{'longitude': '-75.42521', 'latitude': '43.88756'}",623,765,613
BEAVERKILL VALLEY FIRE COMPANY,53001,1524 BEAVERKILL ROAD,LEW BEACH,NY,12758,53,Sullivan,8454394199,42.005288,-74.783737,"{'longitude': '-74.783737', 'latitude': '42.005288'}",2180,1063,641
BEDFORD HILLS FIRE DEPARTMENT,60004,332 BEDFORD RD PO BOX 35,BEDFORD HILLS,NY,10507,60,Westchester,9146664112,41.235693,-73.701752,"{'longitude': '-73.701752', 'latitude': '41.235693'}",2185,1197,989
BEDFORD VILLAGE FIRE DEPARTMENT,60005,38 VILLAGE GREEN,BEDFORD,NY,10506,60,Westchester,9142343133,41.203132,-73.64299,"{'longitude': '-73.64299', 'latitude': '41.203132'}",2185,1196,989
BEEKMAN FIRE DEPARTMENT,14004,316 BEEKMAN-POUGHQUAG ROAD,POUGHQUAG,NY,12570,14,Dutchess,8457245280,41.611741,-73.684684,"{'longitude': '-73.684684', 'latitude': '41.611741'}",2040,1004,604
BEEKMANTOWN FIRE DEPARTMENT,10004,6973 STATE ROUTE 22,WEST CHAZY,NY,12992,10,Clinton,5185634303,44.70092,-73.46677,"{'longitude': '-73.46677', 'latitude': '44.70092'}",2038,202,5
BELFAST FIRE DEPARTMENT,02008,11 MERTON AVENUE PO BOX 487,BELFAST,NY,14711,02,Allegany,5853652606,42.344075,-78.110895,"{'longitude': '-78.110895', 'latitude': '42.344075'}",2031,1693,471
BELGIUM-COLD SPRING VOL FIRE CO,34004,8435 LOOP ROAD,BALDWINSVILLE,NY,13027-8400,34,Onondaga,3156355136,43.153843,-76.277072,"{'longitude': '-76.277072', 'latitude': '43.153843'}",2132,346,509
BELLEROSE FIRE DEPARTMENT,30004,50 SUPERIOR ROAD,BELLEROSE VILLAGE,NY,11001,30,Nassau,5163548419,40.722718,-73.716377,"{'longitude': '-73.716377', 'latitude': '40.722718'}",2094,859,54
BELLEROSE TERRACE FIRE DEPT,30005,PO BOX 725,FLORAL PARK,NY,11001,30,Nassau,5163548419,40.72508,-73.70817,"{'longitude': '-73.70817', 'latitude': '40.72508'}",2094,859,54
BELLEVILLE FIRE DEPARTMENT,23005,7981 NYS RTE 289,BELLEVILLE,NY,13611,23,Jefferson,3158465510,43.78768,-76.13446,"{'longitude': '-76.13446', 'latitude': '43.78768'}",2089,1469,855
BELLEVUE FIRE DEPARTMENT,15005,511 COMO PARK BLVD,CHEEKTOWAGA,NY,14227,15,Erie,7166851680,42.892788,-78.740534,"{'longitude': '-78.740534', 'latitude': '42.892788'}",2041,162,304
BELLMORE FIRE DEPARTMENT,30006,230 PETTIT AVENUE,BELLMORE,NY,11710,30,Nassau,5167812384,40.667379,-73.530784,"{'longitude': '-73.530784', 'latitude': '40.667379'}",2094,1069,54
BELLONA VOLUNTEER FIRE DEPT,62001,110 PRE-EMPTION ROAD,BELLONA,NY,14415,62,Yates,7165266503,42.75329,-77.0258,"{'longitude': '-77.0258', 'latitude': '42.75329'}",2225,172,109
BELLPORT FIRE DEPARTMENT,52006,161 MAIN STREET,BELLPORT,NY,11713,52,Suffolk,6312860273,40.758469,-72.938,"{'longitude': '-72.938', 'latitude': '40.758469'}",2179,1070,
BELMONT FIRE DEPARTMENT,02009,80 SCHUYLER STREET,BELMONT,NY,14813,02,Allegany,5852685550,42.22457,-78.030511,"{'longitude': '-78.030511', 'latitude': '42.22457'}",2031,1759,473
BEMUS POINT FIRE DEPARTMENT,07002,13 ALBURTUS AVE PO BOX 306,BEMUS POINT,NY,14712,07,Chautauqua,7163866011,42.158577,-79.392522,"{'longitude': '-79.392522', 'latitude': '42.158577'}",2035,1694,225
BENNINGTON FIRE DEPARTMENT,61003,1931 CLINTON STREET,ATTICA,NY,14011,61,Wyoming,7165912808,42.86401,-78.28099,"{'longitude': '-78.28099', 'latitude': '42.86401'}",2186,486,418
BENTON FIRE DEPARTMENT,62002,932 ROUTE 14A,PENN YAN,NY,14527,62,Yates,3155364197,42.719178,-77.066372,"{'longitude': '-77.066372', 'latitude': '42.719178'}",2225,367,109
BERGEN FIRE DEPARTMENT,19005,10 HUNTER ST PO BOX 428,BERGEN,NY,14416,19,Genesee,5854942100,43.088915,-77.942356,"{'longitude': '-77.942356', 'latitude': '43.088915'}",2086,173,771
BERGHOLTZ FIRE DEPARTMENT,32003,2470 NIAGARA RD,NIAGARA FALLS,NY,14304,32,Niagara,7167314848,43.102877,-78.911855,"{'longitude': '-78.911855', 'latitude': '43.102877'}",2131,168,143
BERKSHIRE FIRE DEPARTMENT,54002,12450 STATE RTE 38,BERKSHIRE,NY,13736,54,Tioga,6076572727,42.306256,-76.185833,"{'longitude': '-76.185833', 'latitude': '42.306256'}",630,1630,64
BERKSHIRE FIRE DEPARTMENT,18001,320 STEELE AVENUE EXT,GLOVERSVILLE,NY,12078,18,Fulton,5187251612,43.05696,-74.34146,"{'longitude': '-74.34146', 'latitude': '43.05696'}",2085,1227,392
BERLIN VOLUNTEER FIRE DEPARTMENT,42002,PO BOX 1,BERLIN,NY,12022,42,Rensselaer,5186582890,42.692539,-73.369589,"{'longitude': '-73.369589', 'latitude': '42.692539'}",2138,1149,159
BERNE FIRE DEPARTMENT,01003,CANADAY ROAD,BERNE,NY,12023,01,Albany,5188720470,42.612842,-74.070082,"{'longitude': '-74.070082', 'latitude': '42.612842'}",2030,1184,810
BEST LUTHER VOL FIRE CO,42003,303 OLD BEST ROAD,WEST SAND LAKE,NY,12196,42,Rensselaer,5182835641,42.619,-73.637799,"{'longitude': '-73.637799', 'latitude': '42.619'}",2138,36,136
BETHANY FIRE DEPARTMENT,19006,5253 OLD TELEPHONE ROAD,EAST BETHANY,NY,14054,19,Genesee,5853440535,42.903999,-78.130628,"{'longitude': '-78.130628', 'latitude': '42.903999'}",2086,511,712
BETHPAGE FIRE DEPARTMENT,30007,225 BROADWWAY,BETHPAGE,NY,11714,30,Nassau,5169312660,40.738833,-73.479646,"{'longitude': '-73.479646', 'latitude': '40.738833'}",2094,1071,66
BEUKENDAAL FIRE DEPARTMENT,47002,501 SACANDAGA ROAD,GLENVILLE,NY,12303,47,Schenectady,5183771788,42.849802,-73.979,"{'longitude': '-73.979', 'latitude': '42.849802'}",2142,50,120
BIG FLATS FIRE DEPARTMENT,08003,PO BOX 28  505 MAPLE STREET,BIG FLATS,NY,14814,08,Chemung,6075623063,42.14106,-76.933014,"{'longitude': '-76.933014', 'latitude': '42.14106'}",2036,1760,492
BIG INDIAN FIRE DEPARTMENT,56002,7 DEER LANE,OLIVERA,NY,12410,56,Ulster,9142549962,42.10282,-74.442087,"{'longitude': '-74.442087', 'latitude': '42.10282'}",2182,85,425
BIG MOOSE FIRE DEPARTMENT,22001,BIG MOOSE ROAD,EAGLE BAY,NY,13331,22,Herkimer,3153573475,43.848964,-74.998,"{'longitude': '-74.998', 'latitude': '43.848964'}",2088,544,683
BIG TREE FIRE DEPARTMENT,15006,4307 SOUTH PARK AVE,BLASDELL,NY,14219,15,Erie,7168256144,42.77952,-78.823893,"{'longitude': '-78.823893', 'latitude': '42.77952'}",2041,108,297
BINGHAMTON FIRE DEPARTMENT,04001,38 HAWLEY ST GOV PLZ 4TH FL,BINGHAMTON,NY,13901,04,Broome,6077727016,,,,,,
BIRDSALL FIRE DEPARTMENT,02029,9040 CO RD 15B PO BOX 162,CANASERAGA,NY,14822,02,Allegany,5854663000,42.390335,-77.91577,"{'longitude': '-77.91577', 'latitude': '42.390335'}",2031,1768,470
BLACK RIVER FIRE DEPARTMENT,23006,218 LERAY ST PO BOX 95,BLACK RIVER,NY,13612,23,Jefferson,3157734522,44.016848,-75.802925,"{'longitude': '-75.802925', 'latitude': '44.016848'}",2089,1473,852
BLASDELL FIRE DEPARTMENT,15007,121 MIRIAM AVENUE,BLASDELL,NY,14219,15,Erie,7168250456,42.797996,-78.829812,"{'longitude': '-78.829812', 'latitude': '42.797996'}",2041,108,297
BLAUVELT VOLUNTEER FIRE COMPANY,44001,548 WESTERN HIGHWAY,BLAUVELT,NY,10913,44,Rockland,8453590047,41.060649,-73.957423,"{'longitude': '-73.957423', 'latitude': '41.060649'}",628,1493,536
BLENHEIM FIRE DEPARTMENT,48001,1872 STATE ROUTE 30,NORTH BLENHEIM,NY,12131,48,Schoharie,5188276257,42.45355,-74.469,"{'longitude': '-74.469', 'latitude': '42.45355'}",629,1300,169
BLISS FIRE DEPARTMENT,61004,6655 PEARL STREET,BLISS,NY,14024,61,Wyoming,7163228878,42.579615,-78.253627,"{'longitude': '-78.253627', 'latitude': '42.579615'}",2186,490,413
BLOOMINGBURG FIRE COMPANY,53002,117 GODFREY ROAD PO BOX 1039,BLOOMINGBURG,NY,12721,53,Sullivan,8457331000,41.554551,-74.440418,"{'longitude': '-74.440418', 'latitude': '41.554551'}",2180,1037,644
